"year","month","county","antal","ers_tagare","akt_stod","anst_m_stod"
2012,"oktober","KALMAR",328,8,12,NA
2012,"oktober","KRONOBERG",348,3,7,NA
2012,"oktober","NORRBOTTEN",294,9,10,NA
2012,"oktober","SKÅNE",2916,77,90,NA
2012,"oktober","STOCKHOLM",6805,125,109,NA
2012,"oktober","SÖDERMANLAND",379,7,5,NA
2012,"oktober","UPPSALA",1267,17,31,NA
2012,"oktober","VÄRMLAND",471,9,16,NA
2012,"oktober","VÄSTERBOTTEN",649,18,17,NA
2012,"oktober","VÄSTERNORRLAND",460,15,12,NA
2012,"oktober","VÄSTMANLAND",331,9,16,NA
2012,"oktober","VÄSTRA GÖTALAND",3104,95,93,NA
2012,"oktober","ÖREBRO",476,7,8,NA
2012,"oktober","ÖSTERGÖTLAND",895,14,22,NA
2012,"oktober","Okänd",39,NA,NA,NA
2012,"november","BLEKINGE",215,8,7,NA
2012,"november","DALARNA",295,10,7,NA
2012,"november","GOTLAND",204,10,7,NA
2012,"november","GÄVLEBORG",333,11,7,NA
2012,"november","HALLAND",399,18,11,NA
2012,"november","JÄMTLAND",221,2,12,NA
2012,"november","JÖNKÖPING",363,8,11,NA
2012,"november","KALMAR",279,11,12,NA
2012,"november","KRONOBERG",256,3,7,NA
2012,"november","NORRBOTTEN",258,5,10,NA
2012,"november","SKÅNE",2497,78,82,NA
2012,"november","STOCKHOLM",6099,114,107,NA
2012,"november","SÖDERMANLAND",334,8,3,NA
2012,"november","UPPSALA",996,17,31,NA
2012,"november","VÄRMLAND",380,7,16,NA
2012,"november","VÄSTERBOTTEN",524,17,16,NA
2012,"november","VÄSTERNORRLAND",405,13,14,NA
2012,"november","VÄSTMANLAND",300,12,15,NA
